MSSubClass,MSZoning,LotFrontage,LotArea,Alley,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SalePrice
60,RL,65,8450,NA,7,5,2003,2003,196,Gd,706,0,150,856,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,2,548,0,61,0,0,0,0,NA,NA,NA,0,2,2008,208500
20,RL,80,9600,NA,6,8,1976,1976,0,TA,978,0,284,1262,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,2,460,298,0,0,0,0,0,NA,NA,NA,0,5,2007,181500
60,RL,68,11250,NA,7,5,2001,2002,162,Gd,486,0,434,920,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,2,608,0,42,0,0,0,0,NA,NA,NA,0,9,2008,223500
70,RL,60,9550,NA,7,5,1915,1970,0,TA,216,0,540,756,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,3,642,0,35,272,0,0,0,NA,NA,NA,0,2,2006,140000
60,RL,84,14260,NA,8,5,2000,2000,350,Gd,655,0,490,1145,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,3,836,192,84,0,0,0,0,NA,NA,NA,0,12,2008,250000
50,RL,85,14115,NA,5,5,1993,1995,0,TA,732,0,64,796,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993,2,480,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,143000
20,RL,75,10084,NA,8,5,2004,2005,186,Gd,1369,0,317,1686,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,2,636,255,57,0,0,0,0,NA,NA,NA,0,8,2007,307000
60,RL,NA,10382,NA,7,6,1973,1973,240,TA,859,32,216,1107,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,2,484,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,200000
50,RM,51,6120,NA,7,5,1931,1950,0,TA,0,0,952,952,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,2,468,90,0,205,0,0,0,NA,NA,NA,0,4,2008,129900
190,RL,50,7420,NA,5,6,1939,1950,0,TA,851,0,140,991,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,1,205,0,4,0,0,0,0,NA,NA,NA,0,1,2008,118000
20,RL,70,11200,NA,5,5,1965,1965,0,TA,906,0,134,1040,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,NA,Detchd,1965,1,384,0,0,0,0,0,0,NA,NA,NA,0,2,2008,129500
60,RL,85,11924,NA,9,5,2005,2006,286,Ex,998,0,177,1175,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005,3,736,147,21,0,0,0,0,NA,NA,NA,0,7,2006,345000
20,RL,NA,12968,NA,5,6,1962,1962,0,TA,737,0,175,912,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,NA,Detchd,1962,1,352,140,0,0,0,176,0,NA,NA,NA,0,9,2008,144000
20,RL,91,10652,NA,7,5,2006,2007,306,Gd,0,0,1494,1494,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006,3,840,160,33,0,0,0,0,NA,NA,NA,0,8,2007,279500
20,RL,NA,10920,NA,6,5,1960,1960,212,TA,733,0,520,1253,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960,1,352,0,213,176,0,0,0,NA,GdWo,NA,0,5,2008,157000
45,RM,51,6120,NA,7,8,1929,2001,0,TA,0,0,832,832,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1991,2,576,48,112,0,0,0,0,NA,GdPrv,NA,0,7,2007,132000
20,RL,NA,11241,NA,6,7,1970,1970,180,TA,578,0,426,1004,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970,2,480,0,0,0,0,0,0,NA,NA,Shed,700,3,2010,149000
90,RL,72,10791,NA,4,5,1967,1967,0,TA,0,0,0,0,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,NA,CarPort,1967,2,516,0,0,0,0,0,0,NA,NA,Shed,500,10,2006,90000
20,RL,66,13695,NA,5,5,2004,2004,0,TA,646,0,468,1114,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,NA,Detchd,2004,2,576,0,102,0,0,0,0,NA,NA,NA,0,6,2008,159000
20,RL,70,7560,NA,5,6,1958,1965,0,TA,504,0,525,1029,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,NA,Attchd,1958,1,294,0,0,0,0,0,0,NA,MnPrv,NA,0,5,2009,139000
60,RL,101,14215,NA,8,5,2005,2006,380,Gd,0,0,1158,1158,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005,3,853,240,154,0,0,0,0,NA,NA,NA,0,11,2006,325300
45,RM,57,7449,Grvl,7,7,1930,1950,0,TA,0,0,637,637,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930,1,280,0,0,205,0,0,0,NA,GdPrv,NA,0,6,2007,139400
20,RL,75,9742,NA,8,5,2002,2002,281,Gd,0,0,1777,1777,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002,2,534,171,159,0,0,0,0,NA,NA,NA,0,9,2008,230000
120,RM,44,4224,NA,5,7,1976,1976,0,TA,840,0,200,1040,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976,2,572,100,110,0,0,0,0,NA,NA,NA,0,6,2007,129900
20,RL,NA,8246,NA,5,8,1968,2001,0,TA,188,668,204,1060,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968,1,270,406,90,0,0,0,0,NA,MnPrv,NA,0,5,2010,154000
20,RL,110,14230,NA,8,5,2007,2007,640,Gd,0,0,1566,1566,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007,3,890,0,56,0,0,0,0,NA,NA,NA,0,7,2009,256300
20,RL,60,7200,NA,5,7,1951,2000,0,TA,234,486,180,900,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,NA,Detchd,2005,2,576,222,32,0,0,0,0,NA,NA,NA,0,5,2010,134800
20,RL,98,11478,NA,8,5,2007,2008,200,Gd,1218,0,486,1704,Ex,Y,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008,3,772,0,50,0,0,0,0,NA,NA,NA,0,5,2010,306000
20,RL,47,16321,NA,5,6,1957,1997,0,TA,1277,0,207,1484,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957,1,319,288,258,0,0,0,0,NA,NA,NA,0,12,2006,207500
